facility_id,ds,yhat,yhat_lower,yhat_upper,is_forecast
F001,2022-01-01,100.13896466744744,87.12089926067927,113.1570300742156,False
F001,2022-01-02,90.81644563017575,79.0103076982529,102.62258356209858,False
F001,2022-01-03,138.524388871883,120.51621831853821,156.53255942522776,False
F001,2022-01-04,165.8747445656599,144.31102777212413,187.43846135919568,False
F001,2022-01-05,140.23116016286704,122.00110934169433,158.46121098403975,False
F001,2022-01-06,171.22720714762556,148.96767021843425,193.48674407681688,False
F001,2022-01-07,138.10026708577163,120.14723236462132,156.05330180692192,False
F001,2022-01-08,105.1959881589419,91.52050969827945,118.87146661960433,False
F001,2022-01-09,90.18695154296076,78.46264784237586,101.91125524354564,False
F001,2022-01-10,145.36648113715412,126.4688385893241,164.26412368498416,False
F001,2022-01-11,139.73258470693887,121.56734869503681,157.8978207188409,False
F001,2022-01-12,137.6209680618889,119.73024221384334,155.51169390993445,False
F001,2022-01-13,155.82711970291533,135.56959414153633,176.0846452642943,False
F001,2022-01-14,168.8243063446367,146.87714651983393,190.77146616943946,False
F001,2022-01-15,120.13379919002526,104.51640529532197,135.75119308472853,False
F001,2022-01-16,108.68325266077711,94.55442981487609,122.81207550667813,False
F001,2022-01-17,158.0724788513198,137.52305660064823,178.62190110199137,False
F001,2022-01-18,137.6806716223356,119.78218431143198,155.57915893323923,False
F001,2022-01-19,141.7661677375101,123.33656593163379,160.1957695433864,False
F001,2022-01-20,146.81110461975777,127.72566101918926,165.89654822032625,False
F001,2022-01-21,164.15657101968708,142.81621678712776,185.49692525224637,False
F001,2022-01-22,111.58838684805451,97.08189655780743,126.09487713830158,False
F001,2022-01-23,109.85443732792385,95.57336047529374,124.13551418055394,False
F001,2022-01-24,164.10713418512773,142.77320674106113,185.4410616291943,False
F001,2022-01-25,167.11695792057301,145.39175339089851,188.84216245024749,False
F001,2022-01-26,139.81533447683188,121.63934099484374,157.99132795882,False
F001,2022-01-27,137.27083681679005,119.42562803060734,155.11604560297275,False
F001,2022-01-28,161.68777920879307,140.66836791164997,182.70719050593615,False
F001,2022-01-29,107.24730325211765,93.30515382934234,121.18945267489293,False
F001,2022-01-30,97.62538574301185,84.9340855964203,110.31668588960338,False
F001,2022-01-31,152.81384680744043,132.94804672247318,172.67964689240767,False
F001,2022-02-01,161.27492033550237,140.30918069188706,182.24065997911765,False
F001,2022-02-02,142.47179030915956,123.95045756896882,160.9931230493503,False
